장애유형	심한장애(남)	심한장애(여)	심한장애(계)	심하지 않은 장애(남)	심하지 않은 장애(여)	심하지 않은 장애(계)	합계(남)	합계(여)	합계(계)
 합계 	"585,734"	"399,669"	"985,403"	"927,472"	"706,043"	"1,633,515"	"1,513,206"	"1,105,712"	"2,618,918"
 지체 	"158,257"	"82,524"	"240,781"	"549,989"	"432,365"	"982,354"	"708,246"	"514,889"	"1,223,135"
 시각 	"24,643"	"23,977"	"48,620"	"125,618"	"78,817"	"204,435"	"150,261"	"102,794"	"253,055"
 청각 	"50,462"	"44,273"	"94,735"	"148,612"	"133,747"	"282,359"	"199,074"	"178,020"	"377,094"
 언어 	"7,851"	"3,098"	"10,949"	"7,512"	"3,024"	"10,536"	"15,363"	"6,122"	"21,485"
 지적 	"128,332"	"84,604"	"212,936"	0	0	0	"128,332"	"84,604"	"212,936"
 뇌병변 	"84,042"	"71,250"	"155,292"	"60,575"	"36,321"	"96,896"	"144,617"	"107,571"	"252,188"
 자폐성 	"24,234"	"4,444"	"28,678"	0	0	0	"24,234"	"4,444"	"28,678"
 정신 	"52,658"	"50,322"	"102,980"	0	0	0	"52,658"	"50,322"	"102,980"
 신장 	"40,864"	"28,513"	"69,377"	"13,479"	"9,552"	"23,031"	"54,343"	"38,065"	"92,408"
 심장 	"2,675"	"1,589"	"4,264"	693	309	"1,002"	"3,368"	"1,898"	"5,266"
 호흡기 	"8,381"	"2,881"	"11,262"	161	99	260	"8,542"	"2,980"	"11,522"
 간 	630	233	863	"8,679"	"3,612"	"12,291"	"9,309"	"3,845"	"13,154"
 안면 	820	595	"1,415"	739	519	"1,258"	"1,559"	"1,114"	"2,673"
 장루.요루 	891	550	"1,441"	"8,554"	"5,295"	"13,849"	"9,445"	"5,845"	"15,290"
 뇌전증 	994	816	"1,810"	"2,861"	"2,383"	"5,244"	"3,855"	"3,199"	"7,054"
